City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,moanda,-1.5575,13.2178,296.15,84,57,1.31,GA,1676241192
348,samba,32.5667,75.1167,280.32,42,0,1.63,IN,1676241192
349,rawson,-43.3002,-65.1023,288.45,81,97,5.86,AR,1676241192
350,yerbogachen,61.2767,108.0108,250.94,100,64,2.13,RU,1676241193
351,aswan,24.0934,32.907,289.76,33,0,4.12,EG,1676241193
352,mackay,-21.15,149.2,302.42,70,52,3.27,AU,1676241193
353,hithadhoo,-0.6,73.0833,299.96,68,8,3.82,MV,1676241194
354,kamyaran,34.7956,46.9355,271.09,94,85,1.18,IR,1676241194
355,svetlaya,46.5389,138.3297,263.22,67,77,3.12,RU,1676241194
356,olonets,60.9847,32.9698,274.48,98,100,6.06,RU,1676241195
357,plainfield,40.6168,-74.4173,281.16,49,75,1.54,US,1676241195
358,kamaishi,39.2667,141.8833,276.66,84,100,2.5,JP,1676241195
359,kurilsk,45.2333,147.8833,267.5,77,76,4.63,RU,1676241196
360,merauke,-8.4667,140.3333,300.52,79,100,6.14,ID,1676241196
